date,tesla report,tesla good,tesla bad,tesla up,tesla down,tesla stock,facebook report,facebook good,facebook bad,facebook up,facebook down,facebook stock,microsoft report,microsoft good,microsoft bad,microsoft up,microsoft down,microsoft stock,amazon report,amazon good,amazon bad,amazon up,amazon down,amazon stock,google report,google good,google bad,google up,google down,google stock,uber report,uber good,uber bad,uber up,uber down,uber stock,lyft report,lyft good,lyft bad,lyft up,lyft down,lyft stock,apple report,apple good,apple bad,apple up,apple down,apple stock,snap report,snap good,snap bad,snap up,snap down,snap stock
2019-11-28 00:00:00,95,64,72,91,100,81,85,77,71,68,1,75,42,52,72,61,27,58,38,52,51,56,61,61,72,66,52,69,55,30,50,74,75,70,75,62,34,43,0,39,23,69,70,92,90,71,37,52,61,64,48,67,46,55
2019-11-28 01:00:00,76,67,54,85,77,74,70,82,75,74,2,68,47,56,91,58,37,50,36,53,54,54,55,53,65,79,54,74,60,31,64,76,84,80,47,58,20,52,26,66,35,39,69,100,97,75,33,47,37,45,48,64,35,41
2019-11-28 02:00:00,72,89,66,83,91,71,89,87,74,78,1,62,53,63,50,65,24,41,38,54,46,57,58,51,74,77,48,78,52,30,47,80,55,74,44,54,61,78,0,57,12,47,47,82,89,72,38,40,61,46,39,65,35,34
2019-11-28 03:00:00,100,93,61,58,85,70,78,85,58,81,2,54,58,54,52,58,47,41,39,54,58,56,56,46,84,76,50,78,58,31,64,65,93,65,76,47,7,54,41,68,12,45,65,96,97,79,35,49,96,74,40,70,52,22
2019-11-28 04:00:00,29,76,43,69,68,59,76,84,65,88,2,49,54,55,44,61,34,42,32,46,45,55,53,42,80,69,48,75,48,29,55,73,82,72,75,38,51,47,43,45,25,43,48,82,82,69,34,39,73,47,37,72,54,38
2019-11-28 05:00:00,48,61,64,46,47,52,72,68,56,77,1,45,55,55,62,58,31,31,26,39,55,43,42,37,70,59,45,65,50,23,60,67,53,44,46,36,35,54,14,35,25,29,57,70,66,56,29,31,38,50,56,64,18,26
2019-11-28 06:00:00,48,69,54,45,28,44,65,58,59,71,1,34,49,48,61,42,29,22,24,30,49,34,30,29,78,54,44,59,43,24,42,41,53,54,42,25,26,42,25,26,23,27,51,52,59,40,17,20,59,42,51,50,20,13
2019-11-28 07:00:00,37,19,35,44,19,37,57,53,63,68,1,29,82,41,56,39,25,24,24,25,54,30,31,25,77,48,47,55,43,19,63,42,33,45,22,23,24,30,12,31,0,23,43,44,47,34,16,19,32,37,38,38,23,9
2019-11-28 08:00:00,44,23,37,50,19,34,54,48,57,62,1,26,65,36,34,38,19,16,19,21,59,28,25,19,73,43,48,52,36,19,47,36,35,30,36,17,11,28,0,27,10,14,31,39,45,27,13,14,20,15,20,25,24,15
2019-11-28 09:00:00,50,31,24,45,23,31,54,44,55,64,1,26,73,38,46,53,31,16,16,21,53,28,30,17,70,42,49,51,38,16,45,34,26,30,24,19,26,20,10,14,18,9,30,33,43,28,12,14,19,8,15,27,20,15
2019-11-28 10:00:00,51,20,32,39,30,30,47,52,53,58,1,26,71,35,65,41,32,14,22,21,55,34,29,19,67,41,51,53,35,17,38,36,22,36,28,18,10,19,30,9,9,12,45,36,32,28,14,14,28,16,18,19,28,13
2019-11-28 11:00:00,61,18,28,55,17,28,46,41,50,60,1,23,62,44,61,46,25,16,16,21,51,31,31,18,62,42,45,53,41,15,36,30,32,31,31,17,5,24,18,19,8,14,38,34,39,28,14,15,17,19,17,15,18,12
2019-11-28 12:00:00,31,24,36,73,11,34,53,49,50,60,1,28,54,40,73,41,32,18,20,23,49,35,36,23,65,38,46,52,38,15,27,36,14,26,25,19,14,17,9,20,16,16,31,40,46,29,17,18,29,15,32,19,16,13
2019-11-28 13:00:00,43,28,23,49,25,38,62,52,56,58,1,34,54,47,54,36,21,23,23,26,54,38,33,27,62,42,43,51,37,19,42,31,18,33,25,24,8,22,25,24,15,15,46,44,39,35,22,20,19,13,33,19,20,14
2019-11-28 14:00:00,61,30,24,59,63,54,74,60,61,78,32,42,47,40,47,49,27,33,29,27,53,44,55,37,65,47,47,56,54,22,35,44,34,36,44,35,17,21,0,28,14,23,54,46,45,45,32,31,26,32,24,26,34,22
2019-11-28 15:00:00,55,49,32,60,71,56,90,71,69,94,75,52,53,46,52,41,43,32,28,30,58,43,70,39,58,44,46,60,72,26,41,34,51,41,60,35,16,36,40,34,0,28,50,49,49,48,39,31,40,27,44,32,44,21
2019-11-28 16:00:00,35,42,42,65,90,56,88,75,79,100,100,51,46,42,34,48,41,32,27,36,64,51,80,35,59,47,45,61,77,22,35,34,49,44,62,33,17,21,0,28,72,23,56,56,57,54,49,30,38,24,30,40,43,22
2019-11-28 17:00:00,51,53,39,74,68,49,62,64,70,75,18,39,34,56,35,43,30,27,31,39,62,53,56,35,51,46,47,56,48,22,49,52,67,32,46,32,26,22,17,25,15,22,65,59,64,59,38,27,12,22,9,37,33,16
