,times,open,high,low,close,volume
0,2019-12-05 12:30:00,1746.635,1747.6071,1744.61,1745.645,70859.0
1,2019-12-05 12:00:00,1749.45,1749.55,1745.46,1746.98,103455.0
2,2019-12-05 11:30:00,1746.23,1749.78,1745.0,1749.1708,171069.0
3,2019-12-05 11:00:00,1746.03,1751.3,1746.03,1747.4,183241.0
4,2019-12-05 10:30:00,1749.933,1751.7959,1744.8395,1746.2661,367602.0
5,2019-12-05 10:00:00,1763.51,1763.61,1749.21,1750.29,492274.0
6,2019-12-04 16:00:00,1761.95,1763.79,1760.48,1760.49,237651.0
7,2019-12-04 15:30:00,1764.985,1765.26,1761.71,1761.9236,106812.0
8,2019-12-04 15:00:00,1765.65,1766.12,1764.05,1765.57,95731.0
9,2019-12-04 14:30:00,1761.7194,1766.145,1761.7194,1765.64,113726.0
10,2019-12-04 14:00:00,1766.01,1766.11,1761.56,1761.94,141926.0
11,2019-12-04 13:30:00,1767.92,1769.0,1765.99,1766.0725,109955.0
12,2019-12-04 13:00:00,1770.18,1770.53,1766.15,1767.66,114085.0
13,2019-12-04 12:30:00,1769.24,1770.59,1768.11,1770.17,132507.0
14,2019-12-04 12:00:00,1775.28,1775.36,1769.03,1769.11,151908.0
15,2019-12-04 11:30:00,1773.5638,1776.5,1772.22,1774.9639,213489.0
16,2019-12-04 11:00:00,1778.16,1779.54,1772.3,1773.48,193159.0
17,2019-12-04 10:30:00,1786.99,1788.1899,1777.1,1777.79,268752.0
18,2019-12-04 10:00:00,1774.02,1787.84,1773.48,1787.75,510088.0
19,2019-12-03 16:00:00,1769.89,1772.14,1767.49,1770.34,288831.0
20,2019-12-03 15:30:00,1764.1637,1771.7027,1763.2947,1769.714,196806.0
21,2019-12-03 15:00:00,1758.62,1763.9301,1758.2,1763.86,142171.0
22,2019-12-03 14:30:00,1758.4218,1761.13,1756.41,1758.7268,163484.0
23,2019-12-03 14:00:00,1758.4,1760.58,1757.91,1758.71,156123.0
24,2019-12-03 13:30:00,1756.0286,1758.66,1753.0,1758.4387,172084.0
25,2019-12-03 13:00:00,1754.98,1756.98,1754.38,1755.68,124047.0
26,2019-12-03 12:30:00,1753.5192,1756.17,1751.8,1754.8132,147517.0
27,2019-12-03 12:00:00,1750.72,1754.91,1749.98,1753.05,179515.0
28,2019-12-03 11:30:00,1750.3453,1751.41,1748.36,1750.7153,250392.0
29,2019-12-03 11:00:00,1754.43,1756.89,1748.0,1750.72,323641.0
30,2019-12-03 10:30:00,1756.0844,1757.3199,1749.29,1754.5344,355943.0
31,2019-12-03 10:00:00,1760.77,1761.75,1752.11,1757.36,730334.0
32,2019-12-02 16:00:00,1779.11,1782.58,1778.9301,1781.62,330458.0
33,2019-12-02 15:30:00,1781.67,1782.86,1778.67,1779.12,150045.0
34,2019-12-02 15:00:00,1780.84,1782.8199,1780.01,1781.94,147606.0
35,2019-12-02 14:30:00,1775.397,1782.2,1775.0,1780.4399,308777.0
36,2019-12-02 14:00:00,1775.44,1777.71,1773.73,1774.8,109276.0
37,2019-12-02 13:30:00,1771.3623,1776.23,1771.03,1775.7781,117215.0
38,2019-12-02 13:00:00,1770.85,1772.76,1769.62,1771.24,126955.0
39,2019-12-02 12:30:00,1772.6262,1775.89,1770.1,1770.706,245182.0
40,2019-12-02 12:00:00,1771.34,1772.5,1767.79,1772.47,209307.0
41,2019-12-02 11:30:00,1767.4246,1773.2109,1764.0673,1771.3847,282217.0
42,2019-12-02 11:00:00,1775.15,1775.26,1764.12,1767.81,383095.0
43,2019-12-02 10:30:00,1785.1869,1786.8698,1774.4278,1775.1967,415807.0
44,2019-12-02 10:00:00,1804.01,1805.67,1784.78,1785.15,649650.0
45,2019-11-29 13:00:00,1805.28,1807.38,1800.96,1801.64,323953.0
46,2019-11-29 12:30:00,1808.78,1809.76,1804.6,1805.0,137479.0
47,2019-11-29 12:00:00,1808.36,1809.17,1803.53,1808.91,159322.0
48,2019-11-29 11:30:00,1814.05,1816.28,1805.08,1808.25,246840.0
