,times,open,high,low,close,volume
0,2019-12-05 16:00:00,44.85,45.13,44.78,45.09,1751177.0
1,2019-12-05 15:30:00,44.7714,44.9573,44.695,44.8514,735679.0
2,2019-12-05 15:00:00,44.16,44.76,44.13,44.76,825073.0
3,2019-12-05 14:30:00,44.2417,44.27,44.06,44.1718,544275.0
4,2019-12-05 14:00:00,44.38,44.58,44.2297,44.23,715473.0
5,2019-12-05 13:30:00,44.6789,44.68,44.34,44.4219,1047736.0
6,2019-12-05 13:00:00,44.91,44.9288,44.52,44.66,1114526.0
7,2019-12-05 12:30:00,45.3765,45.3924,44.86,44.9115,583218.0
8,2019-12-05 12:00:00,45.76,45.76,45.33,45.38,219013.0
9,2019-12-05 11:30:00,45.5207,45.7996,45.4393,45.7607,414915.0
10,2019-12-05 11:00:00,45.98,46.01,45.48,45.51,569178.0
11,2019-12-05 10:30:00,46.0867,46.1428,45.242,45.9817,824446.0
12,2019-12-05 10:00:00,47.09,47.18,45.76,46.09,984335.0
13,2019-12-04 16:00:00,47.32,47.39,47.245,47.32,361392.0
14,2019-12-04 15:30:00,47.3119,47.37,47.25,47.2919,135270.0
15,2019-12-04 15:00:00,47.36,47.45,47.24,47.32,157727.0
16,2019-12-04 14:30:00,47.27,47.44,47.23,47.36,158209.0
17,2019-12-04 14:00:00,47.41,47.46,47.21,47.27,126587.0
18,2019-12-04 13:30:00,47.5615,47.7277,47.4,47.4215,148503.0
19,2019-12-04 13:00:00,47.37,47.54,47.29,47.54,108108.0
20,2019-12-04 12:30:00,47.3418,47.421,47.2509,47.3808,111138.0
21,2019-12-04 12:00:00,47.15,47.3793,47.1063,47.37,151928.0
22,2019-12-04 11:30:00,47.0,47.225,47.0,47.17,505352.0
23,2019-12-04 11:00:00,47.1,47.18,46.97,46.99,221688.0
24,2019-12-04 10:30:00,47.5968,47.66,47.1002,47.102,479064.0
25,2019-12-04 10:00:00,47.81,47.96,47.49,47.61,390752.0
26,2019-12-03 16:00:00,47.45,47.54,47.3913,47.5,381467.0
27,2019-12-03 15:30:00,47.377,47.48,47.34,47.462,120739.0
28,2019-12-03 15:00:00,47.31,47.43,47.3035,47.38,119137.0
29,2019-12-03 14:30:00,47.2515,47.33,47.1783,47.3115,97078.0
30,2019-12-03 14:00:00,47.45,47.49,47.23,47.24,89726.0
31,2019-12-03 13:30:00,47.4908,47.5031,47.34,47.4508,87584.0
32,2019-12-03 13:00:00,47.46,47.51,47.31,47.49,146269.0
33,2019-12-03 12:30:00,47.2917,47.47,47.25,47.4517,1797366.0
34,2019-12-03 12:00:00,47.11,47.315,47.05,47.29,156848.0
35,2019-12-03 11:30:00,46.9618,47.3643,46.954,47.0918,376554.0
36,2019-12-03 11:00:00,47.18,47.18,46.84,46.96,184249.0
37,2019-12-03 10:30:00,47.0109,47.23,46.7794,47.1809,231129.0
38,2019-12-03 10:00:00,46.55,47.1,46.1,47.04,597499.0
39,2019-12-02 16:00:00,47.21,47.5,47.19,47.39,603984.0
40,2019-12-02 15:30:00,47.4,47.4154,47.17,47.2041,294485.0
41,2019-12-02 15:00:00,47.43,47.495,47.36,47.4,201693.0
