,times,open,high,low,close,volume
0,2019-12-05 12:30:00,14.88,14.91,14.87,14.895,493024.0
1,2019-12-05 12:00:00,14.95,14.955,14.87,14.87,912500.0
2,2019-12-05 11:30:00,14.9402,14.98,14.925,14.9502,715158.0
3,2019-12-05 11:00:00,14.95,14.96,14.93,14.94,799892.0
4,2019-12-05 10:30:00,15.1255,15.1441,14.9038,14.9555,1005072.0
5,2019-12-05 10:00:00,15.05,15.12,14.97,15.12,1377833.0
6,2019-12-04 16:00:00,15.02,15.045,15.005,15.01,1306325.0
7,2019-12-04 15:30:00,15.0301,15.04,15.01,15.02,591409.0
8,2019-12-04 15:00:00,15.03,15.04,15.0022,15.03,417821.0
9,2019-12-04 14:30:00,15.0356,15.05,15.0,15.0306,515362.0
10,2019-12-04 14:00:00,15.06,15.07,15.03,15.04,500969.0
11,2019-12-04 13:30:00,15.0705,15.0847,15.0496,15.0605,476727.0
12,2019-12-04 13:00:00,15.05,15.075,15.025,15.07,510669.0
13,2019-12-04 12:30:00,15.0402,15.06,15.02,15.0452,704947.0
14,2019-12-04 12:00:00,15.04,15.0414,15.0,15.04,584176.0
15,2019-12-04 11:30:00,15.0105,15.054,15.0039,15.0405,914914.0
16,2019-12-04 11:00:00,14.92,15.025,14.91,15.01,961000.0
17,2019-12-04 10:30:00,14.8568,14.965,14.82,14.9156,1066320.0
18,2019-12-04 10:00:00,14.99,15.035,14.84,14.85,2209292.0
19,2019-12-03 16:00:00,14.91,14.98,14.9,14.92,2917450.0
20,2019-12-03 15:30:00,14.8,14.91,14.8,14.91,1027825.0
21,2019-12-03 15:00:00,14.77,14.8,14.765,14.79,698335.0
22,2019-12-03 14:30:00,14.7905,14.8044,14.7443,14.7685,810656.0
23,2019-12-03 14:00:00,14.75,14.81,14.743,14.79,1063643.0
24,2019-12-03 13:30:00,14.6902,14.7628,14.6827,14.7502,596549.0
25,2019-12-03 13:00:00,14.63,14.69,14.62,14.69,712353.0
26,2019-12-03 12:30:00,14.6305,14.645,14.5963,14.6305,931140.0
27,2019-12-03 12:00:00,14.58,14.64,14.565,14.63,2298723.0
28,2019-12-03 11:30:00,14.6205,14.64,14.57,14.5805,915994.0
29,2019-12-03 11:00:00,14.59,14.65,14.5283,14.62,1100090.0
30,2019-12-03 10:30:00,14.43,14.66,14.43,14.6,1746877.0
31,2019-12-03 10:00:00,14.22,14.445,14.21,14.44,2764628.0
32,2019-12-02 16:00:00,14.66,14.7,14.6,14.6,2374786.0
33,2019-12-02 15:30:00,14.6655,14.7,14.645,14.6555,1113194.0
34,2019-12-02 15:00:00,14.6,14.68,14.59,14.66,1384554.0
35,2019-12-02 14:30:00,14.6,14.6385,14.59,14.595,945571.0
36,2019-12-02 14:00:00,14.58,14.625,14.5568,14.6,1307783.0
37,2019-12-02 13:30:00,14.59,14.64,14.57,14.575,1000920.0
38,2019-12-02 13:00:00,14.66,14.67,14.56,14.59,1076171.0
39,2019-12-02 12:30:00,14.7105,14.715,14.64,14.6705,1120990.0
40,2019-12-02 12:00:00,14.64,14.73,14.608,14.71,1495772.0
41,2019-12-02 11:30:00,14.6603,14.685,14.5533,14.6303,3292300.0
42,2019-12-02 11:00:00,14.68,14.72,14.645,14.66,2346601.0
43,2019-12-02 10:30:00,14.9104,14.9345,14.6342,14.6804,3259496.0
44,2019-12-02 10:00:00,15.25,15.28,14.89,14.92,3550800.0
45,2019-11-29 13:00:00,15.22,15.28,15.205,15.26,1322172.0
46,2019-11-29 12:30:00,15.29,15.3,15.22,15.22,1040299.0
47,2019-11-29 12:00:00,15.26,15.29,15.22,15.29,956203.0
48,2019-11-29 11:30:00,15.31,15.335,15.26,15.26,660148.0
49,2019-11-29 11:00:00,15.29,15.315,15.25,15.31,534827.0
50,2019-11-29 10:30:00,15.3405,15.3601,15.275,15.2805,474379.0
51,2019-11-29 10:00:00,15.23,15.35,15.227,15.35,1029540.0
52,2019-11-27 16:00:00,15.32,15.37,15.32,15.35,1586569.0
53,2019-11-27 15:30:00,15.305,15.345,15.3021,15.3249,522693.0
54,2019-11-27 15:00:00,15.37,15.37,15.29,15.31,899568.0
55,2019-11-27 14:30:00,15.3704,15.4,15.365,15.3704,532953.0
56,2019-11-27 14:00:00,15.36,15.4,15.35,15.38,650835.0
57,2019-11-27 13:30:00,15.35,15.38,15.345,15.37,524635.0
58,2019-11-27 13:00:00,15.34,15.3861,15.335,15.35,461265.0
59,2019-11-27 12:30:00,15.36,15.365,15.33,15.34,370982.0
60,2019-11-27 12:00:00,15.36,15.3851,15.345,15.36,443213.0
61,2019-11-27 11:30:00,15.3856,15.4249,15.335,15.3578,778900.0
62,2019-11-27 11:00:00,15.39,15.405,15.36,15.38,679666.0
63,2019-11-27 10:30:00,15.2606,15.4148,15.2547,15.3956,938560.0
64,2019-11-27 10:00:00,15.53,15.53,15.23,15.25,2683664.0
65,2019-11-26 16:00:00,15.45,15.49,15.445,15.46,3018004.0
66,2019-11-26 15:30:00,15.51,15.53,15.435,15.44,962082.0
67,2019-11-26 15:00:00,15.47,15.515,15.43,15.51,729348.0
68,2019-11-26 14:30:00,15.49,15.54,15.465,15.47,1015052.0
69,2019-11-26 14:00:00,15.43,15.5,15.43,15.5,891242.0
70,2019-11-26 13:30:00,15.4055,15.4549,15.4,15.4355,525492.0
71,2019-11-26 13:00:00,15.42,15.42,15.37,15.4,516610.0
72,2019-11-26 12:30:00,15.3956,15.4348,15.3847,15.4156,519472.0
73,2019-11-26 12:00:00,15.34,15.43,15.32,15.4,749576.0
74,2019-11-26 11:30:00,15.395,15.455,15.34,15.34,1002189.0
75,2019-11-26 11:00:00,15.37,15.445,15.29,15.39,1284748.0
76,2019-11-26 10:30:00,15.3494,15.405,15.34,15.3705,1127816.0
77,2019-11-26 10:00:00,15.46,15.47,15.16,15.34,3186688.0
78,2019-11-25 16:00:00,15.64,15.645,15.49,15.49,3252187.0
79,2019-11-25 15:30:00,15.655,15.6686,15.64,15.64,534855.0
80,2019-11-25 15:00:00,15.67,15.67,15.63,15.66,481137.0
81,2019-11-25 14:30:00,15.665,15.685,15.66,15.6657,546674.0
82,2019-11-25 14:00:00,15.63,15.6798,15.63,15.67,579263.0
83,2019-11-25 13:30:00,15.6238,15.675,15.62,15.625,661201.0
84,2019-11-25 13:00:00,15.6,15.63,15.5701,15.63,979282.0
85,2019-11-25 12:30:00,15.6513,15.68,15.6,15.605,1066725.0
86,2019-11-25 12:00:00,15.76,15.76,15.64,15.66,1358917.0
87,2019-11-25 11:30:00,15.8405,15.8554,15.7353,15.7583,1206918.0
88,2019-11-25 11:00:00,15.74,15.84,15.71,15.84,1853165.0
89,2019-11-25 10:30:00,15.8703,15.9038,15.6886,15.7333,2953520.0
90,2019-11-25 10:00:00,15.59,15.9,15.59,15.87,7310948.0
91,2019-11-22 16:00:00,15.25,15.295,15.24,15.25,2835202.0
92,2019-11-22 15:30:00,15.2056,15.26,15.2,15.2456,787161.0
93,2019-11-22 15:00:00,15.19,15.23,15.1749,15.21,1129778.0
94,2019-11-22 14:30:00,15.23,15.245,15.195,15.1999,716943.0
95,2019-11-22 14:00:00,15.27,15.28,15.19,15.23,806425.0
96,2019-11-22 13:30:00,15.2252,15.29,15.2,15.2702,833661.0
97,2019-11-22 13:00:00,15.1,15.29,15.095,15.23,3859427.0
98,2019-11-22 12:30:00,15.01,15.105,15.01,15.095,659060.0
99,2019-11-22 12:00:00,15.08,15.08,15.01,15.01,832357.0
100,2019-11-22 11:30:00,15.0706,15.09,15.05,15.0756,829012.0
101,2019-11-22 11:00:00,15.09,15.115,15.03,15.07,1488018.0
102,2019-11-22 10:30:00,15.2303,15.269,15.09,15.0903,1805318.0
103,2019-11-22 10:00:00,15.18,15.5,15.18,15.23,3641557.0
104,2019-11-21 16:00:00,15.11,15.11,15.06,15.08,2791731.0
105,2019-11-21 15:30:00,15.155,15.17,15.09,15.1,958796.0
106,2019-11-21 15:00:00,15.17,15.2,15.143,15.16,1050993.0
107,2019-11-21 14:30:00,15.1352,15.2332,15.1331,15.1672,1384230.0
108,2019-11-21 14:00:00,15.22,15.23,15.12,15.13,1298821.0
109,2019-11-21 13:30:00,15.33,15.345,15.22,15.225,2006796.0
110,2019-11-21 13:00:00,15.27,15.34,15.25,15.33,1356078.0
111,2019-11-21 12:30:00,15.2806,15.3088,15.22,15.2806,1059464.0
112,2019-11-21 12:00:00,15.5,15.51,15.27,15.28,1350673.0
113,2019-11-21 11:30:00,15.4703,15.5241,15.4551,15.5003,832986.0
114,2019-11-21 11:00:00,15.44,15.47,15.41,15.47,1064633.0
115,2019-11-21 10:30:00,15.495,15.63,15.43,15.44,2027195.0
116,2019-11-21 10:00:00,15.33,15.63,15.32,15.5,3605045.0
117,2019-11-20 16:00:00,15.23,15.37,15.23,15.3,2508270.0
118,2019-11-20 15:30:00,15.2702,15.29,15.21,15.2252,833633.0
119,2019-11-20 15:00:00,15.28,15.285,15.25,15.27,1064884.0
120,2019-11-20 14:30:00,15.2375,15.275,15.2036,15.2705,1043157.0
121,2019-11-20 14:00:00,15.18,15.26,15.18,15.24,905866.0
122,2019-11-20 13:30:00,15.3806,15.4044,15.0991,15.1706,1987690.0
123,2019-11-20 13:00:00,15.47,15.5,15.37,15.39,1359964.0
124,2019-11-20 12:30:00,15.4704,15.5,15.46,15.4803,930617.0
125,2019-11-20 12:00:00,15.44,15.4751,15.415,15.47,876282.0
126,2019-11-20 11:30:00,15.4054,15.445,15.3549,15.4306,985633.0
127,2019-11-20 11:00:00,15.46,15.495,15.375,15.4,1816301.0
128,2019-11-20 10:30:00,15.45,15.47,15.295,15.46,2197481.0
