date,tesla report,tesla good,tesla bad,tesla up,tesla down,tesla stock,facebook report,facebook good,facebook bad,facebook up,facebook down,facebook stock,microsoft report,microsoft good,microsoft bad,microsoft up,microsoft down,microsoft stock,amazon report,amazon good,amazon bad,amazon up,amazon down,amazon stock,google report,google good,google bad,google up,google down,google stock,uber report,uber good,uber bad,uber up,uber down,uber stock,lyft report,lyft good,lyft bad,lyft up,lyft down,lyft stock,apple report,apple good,apple bad,apple up,apple down,apple stock,snap report,snap good,snap bad,snap up,snap down,snap stock
2019-09-02,7,9,11,3,10,7,88,90,79,51,15,27,34,69,35,55,17,13,30,69,53,49,60,13,59,64,60,75,39,29,16,68,50,70,32,7,30,31,0,43,100,13,33,58,73,53,34,16,27,31,35,76,26,2
2019-09-03,19,13,15,2,56,15,77,83,82,46,14,57,53,81,44,96,29,31,41,71,58,46,62,27,76,71,71,89,44,50,56,50,19,68,12,25,42,41,46,64,32,80,30,63,58,45,33,36,59,51,33,65,15,18
2019-09-04,24,24,22,3,37,17,81,88,78,48,13,63,53,59,31,95,36,34,38,59,59,50,91,30,78,78,78,90,50,59,31,62,48,84,28,33,28,60,57,60,81,92,35,71,72,47,39,41,51,64,51,91,9,22
2019-09-05,14,18,14,3,17,15,78,75,70,48,16,64,53,77,36,82,25,45,37,68,52,49,82,32,88,79,87,95,60,62,40,53,53,83,70,30,57,63,69,58,49,70,32,56,64,46,48,46,17,30,44,54,25,24
2019-09-06,16,21,17,3,10,16,81,79,79,48,12,61,33,83,46,77,27,40,42,65,60,50,64,28,70,80,73,87,48,56,29,46,60,66,43,25,29,32,0,53,33,68,29,64,76,44,31,40,44,35,57,57,26,24
2019-09-07,18,18,13,4,9,5,78,75,73,51,15,31,19,60,15,68,100,15,31,73,72,52,61,12,48,62,60,68,40,25,29,66,84,85,38,8,49,71,40,81,74,20,25,74,65,47,36,14,20,40,25,89,18,6
2019-09-08,10,18,15,4,19,4,62,84,69,50,13,19,22,90,25,55,12,12,23,72,56,51,53,10,47,63,65,74,34,22,46,43,50,79,48,7,32,53,0,59,75,21,31,81,80,48,34,13,0,64,42,94,50,5
2019-09-09,10,9,16,3,11,16,87,88,72,48,17,60,56,98,40,76,32,37,43,62,64,53,66,30,81,83,83,93,52,60,25,47,53,72,25,21,57,45,68,45,32,57,36,71,72,51,46,45,34,68,66,61,95,30
2019-09-10,17,24,13,4,31,16,80,96,77,46,14,59,74,61,44,83,31,43,37,62,56,53,87,29,81,83,88,95,56,69,31,57,53,57,49,27,55,51,0,63,31,68,57,92,100,66,76,100,42,55,51,82,18,31
2019-09-11,12,13,24,3,11,20,86,91,75,45,15,65,66,59,22,86,30,46,42,57,55,52,61,29,77,89,84,89,56,66,46,60,72,68,36,41,84,71,34,54,32,92,34,92,96,62,66,96,42,81,73,78,31,30
2019-09-12,10,18,15,2,26,20,79,95,69,47,15,65,63,87,58,90,28,42,35,58,64,50,81,31,78,86,85,97,54,66,56,60,53,76,34,28,42,31,35,58,33,71,40,67,60,55,65,78,60,56,44,81,18,25
2019-09-13,11,23,15,3,19,18,92,87,74,46,14,59,63,84,41,90,25,48,34,53,56,48,48,28,73,85,83,95,53,56,42,49,50,68,29,22,48,32,54,50,50,63,44,73,71,54,55,65,35,45,45,52,19,30
2019-09-14,18,21,6,4,23,7,74,98,74,48,15,26,22,69,36,58,20,16,22,71,49,52,61,12,49,74,61,72,100,24,21,57,100,88,35,10,33,82,53,100,73,22,21,79,73,54,51,23,39,59,51,52,25,8
2019-09-15,14,15,19,4,21,5,80,97,81,49,16,22,24,57,35,51,19,12,32,71,71,55,71,11,52,83,69,74,82,23,60,68,44,84,44,7,32,34,39,66,37,18,30,88,76,57,57,15,39,59,66,84,25,4
2019-09-16,15,21,13,3,11,15,95,91,61,48,12,54,59,90,53,85,23,35,43,58,66,52,56,28,81,91,85,95,71,63,37,40,67,79,28,23,28,30,51,44,0,61,51,78,74,56,42,51,51,51,58,67,21,14
2019-09-17,17,20,22,2,18,15,90,82,67,46,13,60,79,66,61,86,26,42,37,66,64,55,55,28,83,92,92,96,87,58,40,61,48,88,41,21,42,45,51,54,48,56,40,67,67,52,53,46,17,76,57,71,24,30
2019-09-18,19,17,13,2,18,16,76,88,84,47,13,59,62,87,70,79,31,41,40,62,52,47,64,29,79,92,87,100,73,61,37,54,29,78,30,18,74,61,34,38,32,58,45,76,76,57,36,48,42,60,44,63,18,27
2019-09-19,9,17,17,3,11,14,81,79,77,50,14,57,67,79,63,80,32,74,29,54,56,51,71,28,76,91,85,96,66,65,28,65,51,69,22,17,47,31,34,32,33,49,37,73,68,57,43,46,26,56,22,58,24,20
2019-09-20,11,14,17,3,40,14,86,82,76,47,11,58,60,79,74,69,29,56,37,58,48,48,77,26,78,85,81,98,57,59,32,49,50,90,23,18,74,74,35,60,34,45,61,74,66,66,55,55,36,63,34,53,10,27
2019-09-21,14,18,17,3,21,5,88,83,75,48,13,29,29,68,40,61,16,24,27,71,48,54,69,11,47,61,61,74,43,31,32,40,49,71,51,9,49,46,39,51,36,19,31,85,80,100,50,20,19,88,66,58,28,8
2019-09-22,17,7,6,3,6,5,75,84,74,49,13,25,27,69,35,65,15,12,35,70,74,54,69,10,55,72,70,72,45,23,36,59,38,77,37,5,53,34,58,54,0,12,24,86,79,99,46,16,19,48,100,66,14,5
2019-09-23,5,20,29,2,18,14,72,88,85,48,12,52,56,65,74,72,30,43,46,62,57,48,61,26,85,86,86,91,60,51,30,66,47,82,27,19,27,30,34,75,31,39,51,82,83,75,55,45,50,46,64,67,30,25
2019-09-24,18,14,22,4,36,19,84,85,69,46,14,57,73,84,35,76,25,46,35,61,54,57,67,29,85,94,84,94,62,63,42,49,57,76,44,20,64,70,34,47,64,53,46,77,81,64,52,48,99,38,29,68,33,24
2019-09-25,8,18,16,3,20,19,93,100,77,46,11,61,61,100,35,74,26,45,42,68,56,51,60,31,91,85,83,89,63,57,21,49,52,68,27,20,64,91,34,44,32,63,36,80,76,64,50,45,50,42,57,67,15,25
2019-09-26,22,14,20,3,26,18,97,81,77,47,13,56,63,96,44,80,33,38,42,61,73,51,52,29,89,87,87,91,58,57,31,42,88,78,36,18,70,41,51,61,32,53,41,78,90,64,40,43,34,52,66,79,25,25
2019-09-27,23,23,11,4,27,20,85,89,77,45,14,61,59,44,64,77,19,40,40,61,55,54,67,28,96,93,84,89,62,59,48,49,70,100,34,22,48,31,0,56,65,60,39,71,78,62,50,43,35,75,78,75,29,21
2019-09-28,14,24,19,3,30,5,69,72,80,48,14,25,21,55,62,43,20,14,41,75,62,50,80,11,43,63,61,73,46,24,50,46,55,80,32,10,65,36,39,88,93,20,33,75,64,70,54,15,39,40,51,66,14,6
2019-09-29,14,24,19,5,17,5,84,82,74,49,12,21,29,86,30,41,16,12,33,87,73,63,70,10,60,60,57,77,39,24,24,56,22,85,28,7,31,0,0,47,37,18,40,100,81,71,43,14,19,54,58,72,29,4
2019-09-30,23,21,15,4,24,14,78,82,73,44,12,55,56,62,31,83,32,43,39,69,65,59,65,26,86,79,77,89,58,55,58,50,39,83,41,20,28,30,0,64,48,43,40,76,79,63,44,47,34,73,51,76,24,28
