,times,open,high,low,close,volume
0,2019-12-04,1774.01,1789.09,1760.22,1760.69,2596220.0
1,2019-12-03,1760.0,1772.87,1747.23,1769.96,3529582.0
2,2019-12-02,1804.4,1805.55,1762.68,1781.6,3931750.0
3,2019-11-29,1817.78,1824.69,1800.79,1800.8,1923440.0
4,2019-11-27,1801.0,1824.5,1797.31,1818.51,3035846.0
5,2019-11-26,1779.92,1797.03,1778.35,1796.94,3190428.0
6,2019-11-25,1753.25,1777.42,1753.24,1773.84,3489467.0
7,2019-11-22,1739.02,1746.43,1731.0,1745.72,2479081.0
8,2019-11-21,1743.0,1746.87,1730.36,1734.71,2662938.0
9,2019-11-20,1749.14,1762.52,1734.12,1745.53,2793759.0
10,2019-11-19,1756.99,1760.68,1743.03,1752.79,2274535.0
11,2019-11-18,1738.3,1753.7,1722.71,1752.53,2841907.0
12,2019-11-15,1760.05,1761.68,1732.86,1739.49,3931141.0
13,2019-11-14,1751.43,1766.59,1749.56,1754.6,2269417.0
14,2019-11-13,1773.39,1775.0,1747.32,1753.11,2926892.0
15,2019-11-12,1774.66,1786.22,1771.91,1778.0,2038925.0
16,2019-11-11,1778.0,1780.0,1767.13,1771.65,1947810.0
17,2019-11-08,1787.89,1789.88,1774.04,1785.88,2126198.0
18,2019-11-07,1803.76,1805.9,1783.48,1788.2,2651086.0
19,2019-11-06,1801.0,1802.5,1788.58,1795.77,2029783.0
20,2019-11-05,1809.16,1810.25,1794.0,1801.71,1885543.0
21,2019-11-04,1801.01,1815.06,1801.01,1804.66,2771922.0
22,2019-11-01,1788.01,1797.44,1785.21,1791.44,2790354.0
23,2019-10-31,1775.99,1792.0,1771.48,1776.66,2781185.0
24,2019-10-30,1759.12,1782.38,1759.12,1779.99,2449405.0
25,2019-10-29,1774.81,1777.0,1755.81,1762.71,2276855.0
26,2019-10-28,1748.06,1778.7,1742.5,1777.08,3634788.0
27,2019-10-25,1697.55,1764.21,1695.0,1761.33,9626402.0
28,2019-10-24,1771.09,1788.34,1760.27,1780.78,5204350.0
29,2019-10-23,1761.3,1770.05,1742.0,1762.17,2190380.0
30,2019-10-22,1788.15,1789.78,1762.0,1765.73,2234425.0
31,2019-10-21,1769.66,1785.88,1765.0,1785.66,2130431.0
32,2019-10-18,1787.8,1793.98,1749.2,1757.51,3189382.0
33,2019-10-17,1796.49,1798.85,1782.02,1787.48,2713773.0
34,2019-10-16,1773.33,1786.24,1770.52,1777.43,2804068.0
35,2019-10-15,1742.14,1776.45,1740.62,1767.38,3129244.0
36,2019-10-14,1728.91,1741.89,1722.0,1736.43,1928898.0
37,2019-10-11,1742.92,1745.45,1729.86,1731.92,3279534.0
38,2019-10-10,1725.24,1738.29,1713.75,1720.26,2721531.0
39,2019-10-09,1719.61,1729.95,1714.36,1721.99,2089335.0
40,2019-10-08,1722.49,1727.0,1705.0,1705.51,2626840.0
41,2019-10-07,1731.63,1747.83,1723.7,1732.66,2187598.0
42,2019-10-04,1726.02,1740.58,1719.23,1739.65,2489277.0
43,2019-10-03,1713.0,1725.0,1685.06,1724.42,3624371.0
44,2019-10-02,1727.74,1728.89,1705.0,1713.23,3338476.0
45,2019-10-01,1746.0,1755.6,1728.41,1735.65,3170460.0
46,2019-09-30,1726.99,1737.46,1709.22,1735.91,2760768.0
47,2019-09-27,1748.0,1749.12,1713.82,1725.45,3948029.0
48,2019-09-26,1762.79,1763.37,1731.5,1739.84,3571952.0
49,2019-09-25,1747.36,1773.0,1723.0,1768.33,3531098.0
50,2019-09-24,1790.61,1795.7,1735.55,1741.61,4637901.0
51,2019-09-23,1777.0,1792.7,1767.32,1785.3,3139142.0
52,2019-09-20,1821.71,1830.63,1780.92,1794.16,5555839.0
53,2019-09-19,1821.02,1832.57,1817.9,1821.5,2078335.0
54,2019-09-18,1817.04,1822.06,1795.5,1817.46,2536012.0
55,2019-09-17,1807.08,1823.99,1804.1,1822.55,2033058.0
56,2019-09-16,1824.02,1825.69,1800.2,1807.84,3675473.0
57,2019-09-13,1842.01,1846.12,1835.17,1839.34,1971317.0
58,2019-09-12,1837.63,1853.66,1834.28,1843.55,2823505.0
59,2019-09-11,1812.14,1833.42,1809.08,1822.99,2432767.0
60,2019-09-10,1822.75,1825.81,1805.34,1820.55,2613879.0
61,2019-09-09,1841.0,1850.0,1824.61,1831.35,2999515.0
62,2019-09-06,1838.22,1840.65,1826.4,1833.51,2496933.0
63,2019-09-05,1821.95,1842.0,1815.58,1840.72,3325189.0
64,2019-09-04,1805.0,1807.63,1796.23,1800.62,2326228.0
65,2019-09-03,1770.0,1800.8,1768.0,1789.84,3546859.0
66,2019-08-30,1797.49,1799.74,1764.57,1776.29,3064147.0
67,2019-08-29,1783.0,1798.55,1777.25,1786.4,3018012.0
68,2019-08-28,1755.0,1767.86,1744.05,1764.25,2411125.0
69,2019-08-27,1775.73,1779.4,1746.68,1761.83,3027245.0
