,times,open,high,low,close,volume
0,2019-12-04,261.07,263.31,260.68,261.74,16155828.0
1,2019-12-03,258.31,259.53,256.29,259.45,29377268.0
2,2019-12-02,267.27,268.25,263.45,264.16,23693550.0
3,2019-11-29,266.6,268.0,265.9,267.25,11654363.0
4,2019-11-27,265.58,267.98,265.31,267.84,16386122.0
5,2019-11-26,266.94,267.16,262.5,264.29,26334882.0
6,2019-11-25,262.71,266.44,262.52,266.37,21029517.0
7,2019-11-22,262.59,263.18,260.84,261.78,16331263.0
8,2019-11-21,263.69,264.005,261.18,262.01,30348778.0
9,2019-11-20,265.54,266.083,260.4,263.19,26609919.0
10,2019-11-19,267.9,268.0,265.3926,266.29,19069597.0
11,2019-11-18,265.8,267.43,264.23,267.1,21700897.0
12,2019-11-15,263.68,265.78,263.01,265.76,25093666.0
13,2019-11-14,263.75,264.88,262.1,262.64,22395556.0
14,2019-11-13,261.13,264.78,261.07,264.47,25817593.0
15,2019-11-12,261.55,262.79,260.92,261.96,21847226.0
16,2019-11-11,258.3,262.47,258.28,262.2,20507459.0
17,2019-11-08,258.69,260.44,256.85,260.14,17520495.0
18,2019-11-07,258.74,260.35,258.11,259.43,23735083.0
19,2019-11-06,256.77,257.49,255.365,257.24,18966124.0
20,2019-11-05,257.05,258.19,256.32,257.13,19974427.0
21,2019-11-04,257.33,257.845,255.38,257.5,25817952.0
22,2019-11-01,249.54,255.93,249.16,255.82,37781334.0
23,2019-10-31,247.24,249.17,237.26,248.76,34790520.0
24,2019-10-30,244.76,245.3,241.21,243.26,31130522.0
25,2019-10-29,248.97,249.75,242.57,243.29,35709867.0
26,2019-10-28,247.42,249.25,246.72,249.05,23655368.0
27,2019-10-25,243.16,246.73,242.88,246.58,18369296.0
28,2019-10-24,244.51,244.8,241.805,243.58,17916255.0
29,2019-10-23,242.1,243.24,241.22,243.18,19932545.0
30,2019-10-22,241.16,242.2,239.6218,239.96,22684001.0
31,2019-10-21,237.52,240.99,237.32,240.51,21811567.0
32,2019-10-18,234.59,237.58,234.29,236.41,24248023.0
33,2019-10-17,235.09,236.15,233.52,235.28,17272897.0
34,2019-10-16,233.37,235.24,233.2,234.37,19286694.0
35,2019-10-15,236.39,237.65,234.88,235.32,23040483.0
36,2019-10-14,234.9,238.1342,234.6701,235.87,24413484.0
37,2019-10-11,232.95,237.64,232.3075,236.21,41990210.0
38,2019-10-10,227.93,230.44,227.3,230.09,28962984.0
39,2019-10-09,227.03,227.79,225.64,227.03,19029424.0
40,2019-10-08,225.82,228.06,224.33,224.4,29282700.0
41,2019-10-07,226.27,229.93,225.84,227.06,30889269.0
42,2019-10-04,225.64,227.49,223.89,227.01,34755553.0
43,2019-10-03,218.43,220.96,215.132,220.82,30352686.0
44,2019-10-02,223.06,223.58,217.93,218.96,35767257.0
45,2019-10-01,225.07,228.22,224.2,224.59,36187163.0
46,2019-09-30,220.9,224.58,220.79,223.97,26318583.0
47,2019-09-27,220.54,220.96,217.2814,218.82,25361285.0
48,2019-09-26,220.0,220.94,218.83,219.89,19088312.0
49,2019-09-25,218.55,221.5,217.1402,221.03,22481006.0
50,2019-09-24,221.055,222.49,217.19,217.68,31434367.0
51,2019-09-23,218.95,219.84,217.65,218.72,19419648.0
52,2019-09-20,221.38,222.56,217.473,217.73,57977094.0
53,2019-09-19,222.01,223.76,220.37,220.96,22187876.0
54,2019-09-18,221.06,222.85,219.44,222.77,25643093.0
55,2019-09-17,219.96,220.82,219.12,220.7,18386468.0
56,2019-09-16,217.73,220.13,217.56,219.9,21158141.0
57,2019-09-13,220.0,220.79,217.02,218.75,39763296.0
58,2019-09-12,224.8,226.42,222.86,223.085,32226669.0
59,2019-09-11,218.07,223.71,217.73,223.59,44289646.0
60,2019-09-10,213.86,216.78,211.71,216.7,31777931.0
61,2019-09-09,214.84,216.44,211.07,214.17,27309401.0
62,2019-09-06,214.05,214.42,212.51,213.26,19362294.0
63,2019-09-05,212.0,213.97,211.51,213.28,23946984.0
64,2019-09-04,208.39,209.48,207.32,209.19,19216820.0
65,2019-09-03,206.43,206.98,204.22,205.7,20059574.0
66,2019-08-30,210.16,210.45,207.2,208.74,21162561.0
67,2019-08-29,208.5,209.32,206.655,209.01,21007652.0
68,2019-08-28,204.1,205.72,203.32,205.53,15957632.0
69,2019-08-27,207.86,208.55,203.53,204.16,25897344.0
70,2019-08-26,205.86,207.19,205.0573,206.49,26066130.0
71,2019-08-23,209.43,212.051,201.0,202.64,46882843.0
72,2019-08-22,213.19,214.435,210.75,212.46,22267819.0
73,2019-08-21,212.99,213.65,211.6032,212.64,21564747.0
74,2019-08-20,210.88,213.35,210.32,210.36,26919529.0
75,2019-08-19,210.62,212.7307,210.025,210.35,24431915.0
76,2019-08-16,204.28,207.16,203.84,206.5,28813624.0
77,2019-08-15,203.46,205.14,199.67,201.74,27883363.0
78,2019-08-14,203.16,206.44,202.5869,202.75,36547443.0
79,2019-08-13,201.02,212.14,200.83,208.97,47539786.0
80,2019-08-12,199.62,202.0516,199.15,200.48,22481889.0
81,2019-08-09,201.3,202.76,199.29,200.99,24619746.0
82,2019-08-08,200.2,203.53,199.39,203.43,27009523.0
83,2019-08-07,195.41,199.56,193.82,199.04,33364400.0
84,2019-08-06,196.31,198.067,194.04,197.0,35824787.0
85,2019-08-05,197.99,198.649,192.58,193.34,52392969.0
