,times,open,high,low,close,volume
0,2019-12-04,47.81,48.0819,46.94,47.315,3142246.0
1,2019-12-03,46.55,47.56,46.08,47.51,2871251.0
2,2019-12-02,49.08,49.11,47.17,47.39,4386549.0
3,2019-11-29,49.0,49.69,48.65,48.98,1702325.0
4,2019-11-27,49.29,49.75,48.8,49.37,3046670.0
5,2019-11-26,48.49,49.785,48.17,49.0,6779986.0
6,2019-11-25,46.5,49.33,46.47,48.94,9661657.0
7,2019-11-22,46.7,47.2,46.23,46.46,6356480.0
8,2019-11-21,44.24,46.83,44.1,46.76,10860232.0
9,2019-11-20,44.0,44.54,42.77,43.95,7978126.0
10,2019-11-19,45.0,45.0,43.81,44.15,3752021.0
11,2019-11-18,43.29,45.36,42.8,44.86,9073779.0
12,2019-11-15,42.18,43.93,41.73,43.04,7836669.0
13,2019-11-14,42.83,42.91,40.65,41.92,8916674.0
14,2019-11-13,42.2,43.43,42.01,43.3,4028280.0
15,2019-11-12,42.74,43.45,42.2,42.33,4293350.0
16,2019-11-11,42.85,43.01,41.8,42.97,3843314.0
17,2019-11-08,43.23,43.38,42.53,43.23,4927352.0
18,2019-11-07,43.31,43.64,42.27,43.29,6052308.0
19,2019-11-06,40.6,43.275,40.48,42.92,9637943.0
20,2019-11-05,42.4,43.09,41.25,41.37,6636643.0
21,2019-11-04,43.0,43.8,42.37,42.83,6285585.0
22,2019-11-01,41.7,43.32,41.58,42.98,7496924.0
23,2019-10-31,45.63,45.82,41.16,41.44,16218646.0
24,2019-10-30,43.45,44.21,43.0002,44.11,8745840.0
25,2019-10-29,44.25,44.25,43.04,43.68,3785721.0
26,2019-10-28,44.68,44.78,43.55,44.42,4596340.0
27,2019-10-25,43.71,44.68,43.38,44.54,5062691.0
28,2019-10-24,43.01,43.75,42.12,43.72,4107584.0
29,2019-10-23,43.67,44.19,42.88,43.08,4781059.0
30,2019-10-22,41.15,45.36,40.06,43.56,19559846.0
31,2019-10-21,41.25,41.67,40.57,40.88,3016445.0
32,2019-10-18,41.61,41.66,40.35,40.79,5511300.0
33,2019-10-17,40.53,42.07,40.21,41.67,6195631.0
34,2019-10-16,40.9,41.02,39.85,40.51,4506318.0
35,2019-10-15,39.8,41.18,39.65,41.08,5781396.0
36,2019-10-14,39.93,40.31,39.25,39.8,4580904.0
37,2019-10-11,37.9,39.92,37.9,39.485,6909670.0
38,2019-10-10,38.39,38.7,37.0678,37.7,7320788.0
39,2019-10-09,38.7,38.75,38.01,38.2,4109824.0
40,2019-10-08,38.8,39.24,38.07,38.66,3319331.0
41,2019-10-07,39.55,40.13,39.1138,39.24,3920910.0
42,2019-10-04,39.38,39.74,38.32,39.16,3681240.0
43,2019-10-03,38.44,39.66,38.01,39.52,5170428.0
44,2019-10-02,38.63,39.305,37.9201,38.39,7871145.0
45,2019-10-01,40.82,40.96,38.68,39.57,8126194.0
46,2019-09-30,41.41,41.59,40.56,40.84,3923036.0
47,2019-09-27,42.89,42.9,40.86,41.35,6433422.0
48,2019-09-26,41.67,42.1365,40.67,41.9,5516028.0
49,2019-09-25,41.97,42.03,40.31,41.78,9836542.0
50,2019-09-24,45.25,45.32,41.7,41.88,9911362.0
51,2019-09-23,46.31,46.63,45.0,45.31,6625216.0
52,2019-09-20,47.45,47.5,45.91,46.43,15282362.0
53,2019-09-19,46.83,48.3833,46.63,47.28,7988646.0
54,2019-09-18,47.75,47.87,45.83,46.62,8036980.0
55,2019-09-17,48.31,48.42,46.82,48.06,4401962.0
56,2019-09-16,46.63,49.0,46.5501,47.79,8634809.0
57,2019-09-13,46.89,46.99,46.01,46.1,4094139.0
58,2019-09-12,46.72,47.46,46.0,46.99,5028574.0
