,times,open,high,low,close,volume
0,2019-12-04,150.14,150.1799,149.2,149.85,17378832.0
1,2019-12-03,147.49,149.43,146.65,149.31,25192145.0
2,2019-12-02,151.81,151.83,148.32,149.55,27473616.0
3,2019-11-29,152.1,152.3,151.28,151.38,11977300.0
4,2019-11-27,152.33,152.5,151.52,152.32,15201293.0
5,2019-11-26,151.36,152.42,151.32,152.03,24635100.0
6,2019-11-25,150.0,151.35,149.92,151.23,22428585.0
7,2019-11-22,150.07,150.3,148.82,149.59,15841680.0
8,2019-11-21,149.4,149.8,148.501,149.48,18576083.0
9,2019-11-20,150.31,150.84,148.46,149.62,25720060.0
10,2019-11-19,150.88,151.33,150.195,150.39,23960164.0
11,2019-11-18,150.07,150.55,148.98,150.34,21554762.0
12,2019-11-15,148.93,149.99,148.27,149.97,23508807.0
13,2019-11-14,147.02,148.41,147.0,148.06,19755100.0
14,2019-11-13,146.74,147.4625,146.28,147.31,17444230.0
15,2019-11-12,146.28,147.57,146.06,147.07,18648712.0
16,2019-11-11,145.34,146.42,144.73,146.11,14370178.0
17,2019-11-08,143.98,145.99,143.76,145.96,16752939.0
18,2019-11-07,143.84,144.88,143.77,144.26,17786715.0
19,2019-11-06,144.37,144.52,143.2,144.06,16575798.0
20,2019-11-05,144.97,145.02,143.905,144.46,18250172.0
21,2019-11-04,144.83,145.0,144.16,144.55,16911999.0
22,2019-11-01,144.26,144.42,142.965,143.72,33128366.0
23,2019-10-31,144.9,144.93,142.99,143.37,24605135.0
24,2019-10-30,143.52,145.0,142.79,144.61,18496591.0
25,2019-10-29,144.08,144.5,142.65,142.83,20589469.0
26,2019-10-28,144.4,145.67,143.51,144.19,34912902.0
27,2019-10-25,139.34,141.14,139.2,140.73,25959724.0
28,2019-10-24,139.39,140.42,138.67,139.94,37278399.0
29,2019-10-23,136.88,137.45,135.61,137.24,31380309.0
30,2019-10-22,138.97,140.01,136.26,136.37,27935270.0
31,2019-10-21,138.45,138.5,137.01,138.43,20078066.0
