,times,open,high,low,close,volume
0,2019-12-04,14.99,15.08,14.81,15.0,11199770.0
1,2019-12-03,14.22,14.98,14.16,14.92,19237285.0
2,2019-12-02,15.25,15.28,14.54,14.6,25281638.0
3,2019-11-29,15.23,15.355,15.19,15.25,6311184.0
4,2019-11-27,15.53,15.53,15.23,15.35,11498539.0
5,2019-11-26,15.46,15.545,15.161,15.46,20538046.0
6,2019-11-25,15.59,15.9,15.49,15.5,25666651.0
7,2019-11-22,15.18,15.5,15.01,15.26,20979651.0
8,2019-11-21,15.33,15.63,15.06,15.08,21544996.0
9,2019-11-20,15.07,15.52,15.01,15.31,20995233.0
10,2019-11-19,14.58,15.26,14.39,15.16,24822570.0
11,2019-11-18,14.08,14.74,14.04,14.69,33287722.0
12,2019-11-15,14.48,14.595,13.5,13.94,33497130.0
13,2019-11-14,14.42,14.59,14.21,14.37,16337255.0
14,2019-11-13,14.38,14.64,14.3401,14.47,8441463.0
15,2019-11-12,14.38,14.64,14.32,14.38,13011566.0
16,2019-11-11,14.13,14.41,13.96,14.39,13118029.0
17,2019-11-08,14.18,14.52,14.09,14.19,14240555.0
18,2019-11-07,14.41,14.7,14.14,14.16,17175636.0
19,2019-11-06,14.87,14.88,14.23,14.41,23002536.0
20,2019-11-05,15.32,15.35,14.81,14.83,18620472.0
21,2019-11-04,15.31,15.38,15.15,15.35,17362722.0
22,2019-11-01,15.09,15.38,14.93,15.18,19885491.0
23,2019-10-31,14.82,15.17,14.545,15.06,21583876.0
24,2019-10-30,14.71,14.9,14.4324,14.86,19113591.0
25,2019-10-29,14.5,14.95,14.37,14.64,21048387.0
26,2019-10-28,14.04,14.73,14.01,14.68,37635915.0
27,2019-10-25,13.41,14.01,13.32,13.96,28299406.0
28,2019-10-24,13.18,13.65,12.71,13.52,54506802.0
29,2019-10-23,13.91,14.38,12.93,13.18,112701973.0
30,2019-10-22,15.0,15.03,13.91,14.0,83564865.0
31,2019-10-21,13.76,14.63,13.725,14.58,45241141.0
32,2019-10-18,14.15,14.28,13.42,13.52,39017411.0
33,2019-10-17,13.73,14.12,13.69,13.78,21060756.0
34,2019-10-16,14.02,14.04,13.62,13.67,22855367.0
35,2019-10-15,13.87,14.15,13.86,14.09,22088235.0
36,2019-10-14,14.19,14.22,13.64,13.76,20677657.0
37,2019-10-11,14.24,14.57,14.1,14.16,27724688.0
38,2019-10-10,14.19,14.38,14.01,14.08,15428082.0
39,2019-10-09,14.3,14.33,14.04,14.21,15486022.0
40,2019-10-08,14.3,14.59,14.05,14.15,23713121.0
41,2019-10-07,14.47,14.68,14.335,14.47,21589786.0
