,times,open,high,low,close,volume
0,2019-11-29,331.11,331.26,327.5,329.94,2465629.0
1,2019-11-27,331.12,333.93,328.57,331.29,5563459.0
2,2019-11-26,335.27,335.5,327.1,328.92,7956239.0
3,2019-11-25,344.32,344.57,334.46,336.34,12345765.0
4,2019-11-22,340.16,341.0,330.0,333.04,16870642.0
5,2019-11-21,354.51,360.84,354.0039,354.83,6110013.0
6,2019-11-20,360.0,361.2,349.57,352.22,6733965.0
7,2019-11-19,351.75,359.99,347.8,359.52,7736078.0
8,2019-11-18,352.9165,353.15,346.1,349.99,4408505.0
9,2019-11-15,350.64,352.8,348.36,352.17,4812563.0
10,2019-11-14,346.11,353.84,342.91,349.35,6471703.0
11,2019-11-13,355.0,356.33,345.18,346.11,8467863.0
12,2019-11-12,346.9,350.37,344.04,349.93,7359383.0
13,2019-11-11,343.95,349.19,342.0,345.09,9993689.0
14,2019-11-08,334.5,337.46,332.5,337.14,6074221.0
15,2019-11-07,329.14,341.5,328.02,335.54,14467348.0
16,2019-11-06,318.0,326.72,314.5,326.58,7940932.0
17,2019-11-05,319.62,323.51,316.118,317.22,6943417.0
18,2019-11-04,314.8,321.94,309.26,317.47,8787040.0
19,2019-11-01,316.32,316.48,309.8,313.31,6383929.0
20,2019-10-31,313.1,319.0,313.0,314.92,5066956.0
21,2019-10-30,313.0,318.79,309.97,315.01,9641810.0
22,2019-10-29,319.99,324.3,314.75,316.22,12684267.0
23,2019-10-28,327.54,340.84,322.6,327.71,18737839.0
24,2019-10-25,297.72,330.0,296.11,328.13,30006091.0
25,2019-10-24,298.37,304.93,289.2,299.68,29819231.0
26,2019-10-23,254.5,256.14,251.35,254.68,11216182.0
27,2019-10-22,254.32,258.33,250.85,255.58,4625095.0
28,2019-10-21,258.33,259.5,250.18,253.5,5020339.0
29,2019-10-18,260.7,262.8,255.1,256.95,5720888.0
30,2019-10-17,262.5,264.78,260.17,261.97,4779043.0
31,2019-10-16,257.39,262.1,256.92,259.75,6704303.0
32,2019-10-15,257.7,260.0,254.12,257.89,6479456.0
33,2019-10-14,247.9,258.55,247.13,256.96,10226863.0
34,2019-10-11,247.15,251.08,246.81,247.89,8488159.0
35,2019-10-10,245.28,249.28,241.58,244.74,6313417.0
36,2019-10-09,241.32,247.295,240.65,244.53,6935033.0
37,2019-10-08,235.87,243.94,234.5,240.05,8702338.0
38,2019-10-07,229.8,238.56,228.55,237.72,8086957.0
39,2019-10-04,231.61,234.78,228.07,231.43,8021180.0
40,2019-10-03,231.86,234.48,224.28,233.03,15137763.0
41,2019-10-02,243.29,244.65,239.43,243.13,6256548.0
42,2019-10-01,241.5,245.95,239.13,244.69,6196290.0
43,2019-09-30,243.0,243.98,236.1111,240.87,5946161.0
44,2019-09-27,242.2,248.71,238.73,242.13,11123179.0
45,2019-09-26,230.66,243.31,227.4,242.56,12078785.0
46,2019-09-25,224.56,228.98,218.36,228.7,9444286.0
47,2019-09-24,241.52,241.99,222.61,223.21,12941112.0
48,2019-09-23,240.0,245.1794,239.22,241.23,4391630.0
49,2019-09-20,246.49,246.946,238.16,240.62,6506264.0
50,2019-09-19,246.0,247.94,244.84,246.6,4883135.0
51,2019-09-18,245.0,248.1685,242.37,243.49,4228103.0
52,2019-09-17,242.47,245.6,240.37,244.79,3946909.0
53,2019-09-16,246.0,247.43,241.17,242.81,4728096.0
54,2019-09-13,246.96,248.45,244.865,245.2,5313145.0
55,2019-09-12,247.7,253.5,244.4,245.87,8581210.0
56,2019-09-11,237.38,248.1741,236.0,247.1,10042777.0
